$ 分割线
== 空

** 普通地板
-- 黑暗
## 缺省空墙体
#0 墙壁上
#1 墙壁下
#2 墙壁左
#3 墙壁右
#4 角落上左
#5 角落上右
#6 角落下左
#7 角落下右
#8 非边界墙体
#a 角落（内）上左
#b 角落（内）上右
#c 角落（内）下左
#d 角落（内）下右

++ 装饰上箭头
+0 篝火
+1 床
+2 引导箭头,针对第一关
+3 气垫船

@@ 踏板
%% 房间进入默认坐标

A0 爱心
A1 蓝色药丸
A2 
A3 红色药丸
A4 无敌盾牌
Aa 治疗瓶
Ab 移速瓶
Ac 攻速瓶
Ad 隐身瓶子

B0 普通可推箱子
B1 植物

C0 普通宝箱
C1 高级宝箱
C2 黄金宝箱

D0 门


E0 出口上
E1 出口下
E2 出口左
E3 出口右
E4 入口上
E5 入口下
E6 入口左
E7 入口右
E8 出口透明
E9 入口透明


F0 落石

G0十字炮台
G1 上炮台
G2 下炮台
G3 左炮台
G4 右炮台 
H0 废旧汽车
I 
J (temp)

K (temp)
L (temp)
M0 怪物生成器 
O0 顶部遮挡竖栏
O1 顶部遮挡横栏
P0 传送门
P1 电梯或者楼梯口
Q0 塔罗
R0 楼梯
S0 商店
S1 店主

T0 尖刺陷阱
U0 
V0 毒液
W0 可破坏装饰
X0 锯齿轮

Z0 房间床
Z1 衣柜
Z2 电脑桌
Z3 电视机
Z4 沙发

a0 斑马 
a1 激光机器人
a2 看守
a3 僵尸
a4 电眼
a5 长颈鹿

b0 海盗
b1 水手
b2 章鱼
b3 鱼人
b4 炸弹人

c0 史莱姆
c1 哥布林战士
c2 哥布林投手
c3 毒蛇
c4 狼人
c5 小鸡
c6 河马

d0 木乃伊
d1 阿努比斯
d2 圣甲虫
d3 鳄鱼
d4 沙雕

e0 (temp)
e1 恶魔
e2 巫师
e3 蜘蛛
e4 石像鬼

f0 宝箱怪

g0 训练假人

z0 冰魔
z1 战争机器
z2 船长
z3 海妖
z4 史莱姆王
z5 树妖
z6 机械拉神
z7 斯芬克斯
z8 眼魔
z9 黑龙
