"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "Cocos Effect", "comment", "blank", "total"
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\.prettierrc", "JSON", 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\actor\ActorAttackBox.ts", "TypeScript", 0, 0, 0, 151, 0, 0, 21, 6, 178
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\actor\ActorBottomDir.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 11, 6, 83
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\actor\AreaDetector.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 15, 6, 54
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\actor\AreaOfEffect.ts", "TypeScript", 0, 0, 0, 165, 0, 0, 14, 7, 186
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\actor\ColliderTag.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 3, 0, 24
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\actor\JumpingAbility.ts", "TypeScript", 0, 0, 0, 139, 0, 0, 9, 3, 151
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\actor\NonPlayerActorState.ts", "TypeScript", 0, 0, 0, 247, 0, 0, 16, 5, 268
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\actor\ShadowPlayer.ts", "TypeScript", 0, 0, 0, 161, 0, 0, 8, 5, 174
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\base\Actor.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 14, 3, 100
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\base\BaseColliderComponent.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 13, 5, 73
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\base\BaseNonPlayerActorState.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 9, 8, 46
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\base\StateContext.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 1, 18
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\base\fsm\DefaultStateMachine.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 9, 15, 89
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\base\fsm\FsmEvent.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 2, 4
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\base\fsm\StackStateMachine.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 9, 13, 63
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\base\fsm\State.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\wxcx\wxdungeon\sinkdungeon_cocos\sinkdungeon\assets\Script\base\fsm\StateMachine.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 9, 4, 27
